shobi_code,name,fragrantica_id,final_status,reason
100-AMG,,2366,FID_MAPPED,
101-AHW,,42972,FID_MAPPED,
102-AMG,,15294,FID_MAPPED,
103-ARB,,21623,FID_MAPPED,
104-ARB,,63057,FID_MAPPED,
105-ARB,,21602,FID_MAPPED,
106-ARB,,21560,FID_MAPPED,
107-ARB,,127709,FID_MAPPED,
108-ARM,,48059,FID_MAPPED,
109-ARM,,55282,FID_MAPPED,
110-ARM,,10886,FID_MAPPED,
111-BAC,,33519,FID_MAPPED,
112-BON,,1301,FID_MAPPED,
113-DRC,,15231,FID_MAPPED,
114-CRD,,4248,FID_MAPPED,
115-EXN,,27571,FID_MAPPED,
116-EXN,,45957,FID_MAPPED,
117-EXN,,33574,FID_MAPPED,
118-HAM,,27808,FID_MAPPED,
119-HIS,,4491,FID_MAPPED,
120-INI,,30989,FID_MAPPED,
121-INI,,57587,FID_MAPPED,
122-INI,,53641,FID_MAPPED,
123-INI,,45977,FID_MAPPED,
124-INI,,42260,FID_MAPPED,
125-JUL,,51055,FID_MAPPED,
126-KIL,,25992,FID_MAPPED,
127-KIL,,4323,FID_MAPPED,
128-LEL,,6327,FID_MAPPED,
129-LEL,,3678,FID_MAPPED,
130-LEL,,23529,FID_MAPPED,
131-LEL,,12201,FID_MAPPED,
132-LTN,,49755,FID_MAPPED,
133-MICA,,14409,FID_MAPPED,
134-KUR,,15566,FID_MAPPED,
135-KUR,,53401,FID_MAPPED,
136-KUR,,53400,FID_MAPPED,
137-KUR,,40816,FID_MAPPED,
138-KUR,,17661,FID_MAPPED,
139-KUR,,30352,FID_MAPPED,
140-KUR,,48456,FID_MAPPED,
141-MAN,,46662,FID_MAPPED,
142-MAN,,15211,FID_MAPPED,
143-MAN,,46663,FID_MAPPED,
144-MAN,,51494,FID_MAPPED,
145-MEM,,31383,FID_MAPPED,
146-MEM,,40544,FID_MAPPED,
147-NAS,,12130,FID_MAPPED,
148-PARF,,36539,FID_MAPPED,
149-PARF,,33514,FID_MAPPED,
150-PARF,,54660,FID_MAPPED,
151-PARF,,43871,FID_MAPPED,
152-PARF,,50370,FID_MAPPED,
153-PARF,,16939,FID_MAPPED,
154-PARF,,39314,FID_MAPPED,
155-PARF,,46633,FID_MAPPED,
156-PARF,,21548,FID_MAPPED,
157-PARF,,16938,FID_MAPPED,
158-PARF,,51037,FID_MAPPED,
159-PARF,,18749,FID_MAPPED,
160-PEN,,46504,FID_MAPPED,
161-PEN,,54665,FID_MAPPED,
162-PEN,,38352,FID_MAPPED,
163-PEN,,31396,FID_MAPPED,
164-PEN,,61523,FID_MAPPED,
165-PEN,,40716,FID_MAPPED,
166-AZ,,40007,FID_MAPPED,
167-RAS,,19688,FID_MAPPED,
168-RAS,,19687,FID_MAPPED,
169-ROJ,,38675,FID_MAPPED,
170-ROJ,,20558,FID_MAPPED,
171-DUP,,21459,FID_MAPPED,
172-SHALM,,47982,FID_MAPPED,
173-SOS,,13816,FID_MAPPED,
174-SOS,,18652,FID_MAPPED,
175-SHA,,2776,FID_MAPPED,
176-THAM,,59756,FID_MAPPED,
177-TER,,32172,FID_MAPPED,
178-VIL,,49305,FID_MAPPED,
179-XER,,30529,FID_MAPPED,
180-XER,,104515,FID_MAPPED,
181-XER,,17786,FID_MAPPED,
182-XER,,16448,FID_MAPPED,
183-XER,,26709,FID_MAPPED,
184-YAS,,22418,FID_MAPPED,
185-AL HAR,,61372,FID_MAPPED,
186-ARM,,405,FID_MAPPED,
187-ARM,,406,FID_MAPPED,
188-ARM,,408,FID_MAPPED,
189-ARM,,14205,FID_MAPPED,
190-ARM,,29301,FID_MAPPED,
191-ARM,,2699,FID_MAPPED,
192-ARM,,34589,FID_MAPPED,
193-ARM,,10884,FID_MAPPED,
194-ARM,,58907,FID_MAPPED,
195-ARM,,34588,FID_MAPPED,
196-BELLA,,26662,FID_MAPPED,
197-BON,,27420,FID_MAPPED,
198-BON,,7166,FID_MAPPED,
199-CARO,,3166,FID_MAPPED,
200-CIR,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
201-CLIV,,4648,FID_MAPPED,
202-CLIV,,4653,FID_MAPPED,
203-CLIV,,4650,FID_MAPPED,
204-CRD,,9828,FID_MAPPED,
205-CRD,,38497,FID_MAPPED,
206-CRD,,3805,FID_MAPPED,
207-CRD,,465,FID_MAPPED,
208-CRD,,4249,FID_MAPPED,
209-CRD,,4250,FID_MAPPED,
210-CRD,,474,FID_MAPPED,
211-CRD,,4262,FID_MAPPED,
212-CRD,,31562,FID_MAPPED,
213-CRD,,12317,FID_MAPPED,
214-CRD,,473,FID_MAPPED,
215-CRD,,472,FID_MAPPED,
216-CRD,,471,FID_MAPPED,
217-CRD,,7024,FID_MAPPED,
218-CRD,,7515,FID_MAPPED,
219-CRD,,41698,FID_MAPPED,
220-CRD,,111515,FID_MAPPED,
221-DIP,,12208,FID_MAPPED,
222-DIP,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
223-DIP,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
224-DIP,,6501,FID_MAPPED,
225-DIP,,35678,FID_MAPPED,
226-DIP,,3829,FID_MAPPED,
227-DIP,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
228-DIP,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
229-DIP,,3865,FID_MAPPED,
230-DIP,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
231-DIP,,31738,FID_MAPPED,
232-ESCE,,846,FID_MAPPED,
233-ESCE,,3606,FID_MAPPED,
234-ESCE,,42995,FID_MAPPED,
235-HOLL,,4307,FID_MAPPED,
236-IND,,42046,FID_MAPPED,
237-JOM,,16436,FID_MAPPED,
238-JOM,,16434,FID_MAPPED,
239-JOM,,5582,FID_MAPPED,
240-JOM,,12927,FID_MAPPED,
241-JOM,,40419,FID_MAPPED,
242-JOM,,15134,FID_MAPPED,
243-JOM,,22504,FID_MAPPED,
244-JOM,,8278,FID_MAPPED,
245-JOM,,2280,FID_MAPPED,
246-JOM,,52803,FID_MAPPED,
247-JOM,,35881,FID_MAPPED,
248-JOM,,3783,FID_MAPPED,
249-JOM,,11488,FID_MAPPED,
250-JOM,,46187,FID_MAPPED,
251-JOM,,10314,FID_MAPPED,
252-JOM,,54458,FID_MAPPED,
253-JOM,,5580,FID_MAPPED,
254-JOM,,2289,FID_MAPPED,
255-JOM,,36752,FID_MAPPED,
256-JOM,,5584,FID_MAPPED,
257-JOM,,13827,FID_MAPPED,
258-JOM,,,TERMINAL_NO_FID,NON_PERSONAL_PRODUCT
259-JOM,,9554,FID_MAPPED,
260-JOM,,29737,FID_MAPPED,
261-JOM,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
262-JOM,,14136,FID_MAPPED,
263-JOM,,36751,FID_MAPPED,
264-JOM,,5585,FID_MAPPED,
265-JOM,,3784,FID_MAPPED,
266-JOM,,36750,FID_MAPPED,
267-JOM,,31825,FID_MAPPED,
268-JOM,,42027,FID_MAPPED,
269-JOM,,37551,FID_MAPPED,
270-JOM,,35880,FID_MAPPED,
271-JOM,,3782,FID_MAPPED,
272-JOM,,2290,FID_MAPPED,
273-JOM,,36749,FID_MAPPED,
274-JOM,,2279,FID_MAPPED,
275-JOM,,39183,FID_MAPPED,
276-JOM,,12928,FID_MAPPED,
277-JOM,,18767,FID_MAPPED,
278-JOM,,14135,FID_MAPPED,
279-JOM,,16433,FID_MAPPED,
280-JOM,,15005,FID_MAPPED,
281-JOM,,5581,FID_MAPPED,
282-JOM,,13826,FID_MAPPED,
283-JOM,,48316,FID_MAPPED,
284-JOM,,5484,FID_MAPPED,
285-JOM,,18546,FID_MAPPED,
286-JOM,,37578,FID_MAPPED,
287-JOM,,24717,FID_MAPPED,
288-JOM,,35878,FID_MAPPED,
289-JOM,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
290-JOM,,5031,FID_MAPPED,
291-JOM,,25069,FID_MAPPED,
292-JOM,,6459,FID_MAPPED,
293-JOM,,15286,FID_MAPPED,
294-JOM,,8922,FID_MAPPED,
295-JOM,,2291,FID_MAPPED,
296-JOM,,58393,FID_MAPPED,
297-JOM,,2289,FID_MAPPED,
298-JOM,,2278,FID_MAPPED,
299-JOM,,14134,FID_MAPPED,
300-JOM,,12310,FID_MAPPED,
301-JOM,,4579,FID_MAPPED,
302-JOM,,22503,FID_MAPPED,
303-JOM,,25529,FID_MAPPED,
304-KIE,,6188,FID_MAPPED,
305-KAY,,52616,FID_MAPPED,
306-LAN,,39739,FID_MAPPED,
307-LOC,,8458,FID_MAPPED,
308-LOC,,2224,FID_MAPPED,
309-LOC,,17836,FID_MAPPED,
310-MIL,,4804,FID_MAPPED,
311-MOL,,,TERMINAL_NO_FID,NON_PERSONAL_PRODUCT
312-MOL,,951,FID_MAPPED,
313-MOL,,,TERMINAL_NO_FID,NON_PERSONAL_PRODUCT
314-MOL,,,TERMINAL_NO_FID,NON_PERSONAL_PRODUCT
315-MNT,,23365,FID_MAPPED,
316-MNT,,3786,FID_MAPPED,
317-MNT,,1142,FID_MAPPED,
318-MNT,,2186,FID_MAPPED,
319-MNT,,40906,FID_MAPPED,
320-NAS,,40200,FID_MAPPED,
321-NAS,,6472,FID_MAPPED,
322-NAS,,25575,FID_MAPPED,
323-NAS,,4291,FID_MAPPED,
324-PARFD,,2662,FID_MAPPED,
325-PECK,,31590,FID_MAPPED,
326-PECK,,,TERMINAL_NO_FID,NON_PERSONAL_PRODUCT
327-PECK,,31584,FID_MAPPED,
328-PEN,,18488,FID_MAPPED,
329-PEN,,13266,FID_MAPPED,
330-PG,,,TERMINAL_NO_FID,HOUSEHOLD_FRAGRANCE_BRAND_MISMATCH
331-PG,,,TERMINAL_NO_FID,NON_PERSONAL_FRAGRANCE
332-RAM,,15503,FID_MAPPED,
333-ROJ,,30776,FID_MAPPED,
334-SHI,,,PENDING_IDENTITY,UNRESOLVED_SOURCE_IDENTITY
335-THCO,,,TERMINAL_NO_FID,LEGACY_REFERENCE_NO_EXACT_FRAGRANTICA_ENTRY
336-THCO,,,TERMINAL_NO_FID,LEGACY_REFERENCE_NO_EXACT_FRAGRANTICA_ENTRY
337-TIFF,,53062,FID_MAPPED,
338-TMFO,,6363,FID_MAPPED,
339-TMFO,,52790,FID_MAPPED,
340-TMFO,,1018,FID_MAPPED,
341-TMFO,,42432,FID_MAPPED,
342-TMFO,,1823,FID_MAPPED,
343-TMFO,,15913,FID_MAPPED,
344-TMFO,,25482,FID_MAPPED,
345-TMFO,,50458,FID_MAPPED,
346-TMFO,,46513,FID_MAPPED,
347-TMFO,,6697,FID_MAPPED,
348-TMFO,,4329,FID_MAPPED,
349-TMFO,,1851,FID_MAPPED,
350-TMFO,,51411,FID_MAPPED,
351-TMFO,,25481,FID_MAPPED,
352-TMFO,,1820,FID_MAPPED,
